# CMD: bash -lc docker compose logs --since=8h api | tail -n 2000
api-1  | INFO:     172.18.0.1:45206 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37928 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37954 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37940 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37916 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | [TELEGRAM SEND ERROR] chat_id=1832004802: ConnectTimeout: ConnectTimeout('')
api-1  | INFO:     172.18.0.1:45206 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:48930 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:48938 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:48944 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:48928 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:45206 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:45202 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:45210 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:45212 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:45190 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:45206 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52888 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52890 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52882 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52900 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:45206 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47888 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47890 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47896 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47876 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:45206 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:39280 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:39260 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:39288 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:39258 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:45206 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60166 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60178 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60172 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60158 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:45206 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51566 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51568 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51576 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51560 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | [HTX RETRY] attempt=1/3 error=htx GET https://api.hbdm.vn/linear-swap-api/v1/swap_contract_info?business_type=all
api-1  | INFO:     172.18.0.1:45206 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32902 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32888 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32880 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:32878 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:45206 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56404 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56420 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56410 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56390 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:45206 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55226 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55222 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55240 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55216 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:43700 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:43686 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:43710 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:43684 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49296 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49286 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49298 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49276 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44774 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44764 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44772 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44748 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56896 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56928 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56924 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56894 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41746 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41754 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41764 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41748 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | [TELEGRAM SEND ERROR] chat_id=1832004802: ConnectTimeout: ConnectTimeout('')
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58660 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58648 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58668 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58650 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41862 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41868 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41884 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41852 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52218 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52244 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52248 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
