# CMD: bash -lc docker compose logs --since=8h api | tail -n 2000
api-1  | INFO:     172.18.0.1:52220 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52248 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52244 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52218 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52220 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33770 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33772 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33774 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:33760 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:43868 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:43864 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:43862 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:43872 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58638 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58652 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58644 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58634 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | [TELEGRAM SEND ERROR] chat_id=1832004802: ConnectTimeout: ConnectTimeout('')
api-1  | INFO:     172.18.0.1:54720 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:54704 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:54728 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:54688 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46258 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46280 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46274 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46256 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41218 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41214 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41216 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41206 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:48542 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:48536 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:48524 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:48544 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:48978 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:48958 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:48966 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:48952 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53852 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53868 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53870 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53842 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51226 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51228 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51216 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51230 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47802 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47814 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47826 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47800 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35582 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35592 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35594 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35570 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:54394 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:54406 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:54400 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:54382 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58014 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58006 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57990 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57974 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35200 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35218 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35206 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35194 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51664 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51654 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51658 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51644 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47792 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47796 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47794 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47780 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38018 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38026 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38010 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38042 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52018 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52026 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52040 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52002 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53404 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53418 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53430 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53402 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53586 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53604 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53594 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53582 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53328 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53340 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53330 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:53314 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:39022 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38998 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:39008 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38982 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51480 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51496 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51482 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51472 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:48950 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:48968 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:48938 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:48962 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | [TELEGRAM SEND ERROR] chat_id=1832004802: ConnectTimeout: ConnectTimeout('')
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60118 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60134 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60102 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60130 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | [TELEGRAM SEND ERROR] chat_id=1832004802: ConnectTimeout: ConnectTimeout('')
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58602 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58616 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58630 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58586 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46982 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47008 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46992 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46980 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57072 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57084 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57080 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57068 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | [HTX RETRY] attempt=1/3 error=htx GET https://api.hbdm.vn/linear-swap-api/v1/swap_contract_info?business_type=all
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47134 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47140 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47120 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47152 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:45824 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:45804 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:45814 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:45790 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | [TELEGRAM SEND ERROR] chat_id=1832004802: ConnectTimeout: ConnectTimeout('')
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49898 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49906 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49892 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49918 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57036 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57050 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57038 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57058 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41500 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41526 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41520 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41502 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44626 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44634 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44630 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44624 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55204 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38342 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38352 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38364 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38332 - "GET /analytics/summary HTTP/1.1" 200 OK
