# CMD: bash -lc docker compose logs --since=8h api | tail -n 2000
api-1  | INFO:     Started server process [1]
api-1  | INFO:     Waiting for application startup.
api-1  | INFO:     Application startup complete.
api-1  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
api-1  | INFO:     172.18.0.1:35638 - "GET /intelligence/events?limit=80 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35640 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35630 - "GET /intelligence/scan HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49312 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35638 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49316 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49314 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35640 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46994 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46998 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47012 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46992 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35640 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35582 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35602 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35586 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35566 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35640 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44188 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:44196 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
