# CMD: bash -lc docker compose logs --since=8h api | tail -n 2000
api-1  | INFO:     Started server process [1]
api-1  | INFO:     Waiting for application startup.
api-1  | INFO:     Application startup complete.
api-1  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
api-1  | INFO:     172.18.0.1:39024 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:39016 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:39022 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36960 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36974 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36942 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37002 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36946 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36990 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37002 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36990 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36946 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37002 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36946 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36990 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37002 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36990 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36946 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37002 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60286 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
