# CMD: bash -lc docker compose logs --since=8h api | tail -n 2000
api-1  | INFO:     Started server process [1]
api-1  | INFO:     Waiting for application startup.
api-1  | INFO:     Application startup complete.
api-1  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
api-1  | INFO:     172.18.0.1:58188 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58210 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58202 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58176 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58164 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57950 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57974 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57976 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57952 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58164 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58748 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58752 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58738 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58768 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:58734 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46182 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46180 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46214 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46218 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46178 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52478 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52506 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52496 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52470 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:52468 - "GET /system/health HTTP/1.1" 200 OK
api-1  | [TELEGRAM SEND ERROR] chat_id=1832004802: ConnectTimeout: ConnectTimeout('')
api-1  | INFO:     172.18.0.1:36712 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36718 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36732 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36700 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:36698 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51114 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51130 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51112 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51136 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:51096 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46936 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46922 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46926 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46916 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46910 - "GET /system/health HTTP/1.1" 200 OK
