# CMD: bash -lc docker compose logs --since=8h api | tail -n 2000
api-1  | INFO:     Started server process [1]
api-1  | INFO:     172.18.0.1:37974 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37986 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37928 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37944 - "POST /robot/run-lifecycle-once HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37986 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37944 - "GET /bot/state HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37928 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37972 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56568 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56558 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56578 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56542 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37972 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37742 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37744 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37740 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37728 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37972 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:39542 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:39556 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:39534 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:39532 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | [HTX RETRY] attempt=1/3 error=htx GET https://api.hbdm.vn/linear-swap-api/v1/swap_contract_info?business_type=all
api-1  | INFO:     172.18.0.1:37972 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38562 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38560 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38564 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:38548 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:37972 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50888 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50878 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50892 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
